"","dates","V1","V2","V3","V4","V5","V6","V7","V8"
"14717",2000-02-23,3.6,3.6,9.6,7.6,10.6,10.8,0,5.3
"14719",2000-02-24,0.2,6.3,8.4,19.6,14.4,13,0,4.2
"14721",2000-02-25,5.8,11.1,14,8.6,17.4,7.3,14.5,13.7
"14723",2000-02-26,3.9,6.5,9.5,10,13.1,3.8,2.3,4.8
"14725",2000-02-27,NA,4.9,3,5.2,16.7,9.5,2.1,6.6
"14727",2000-02-28,1.7,3.2,8.6,10,9.3,2.9,0,7.4
"14729",2000-02-29,8.5,2.1,3.2,3,8.5,6,6.3,2.8
"14731",2000-03-01,5.2,6.1,19,10,0,6.5,0,5.2
"14733",2000-03-02,NA,13.2,3,8.4,0,17.5,0,15.5
"14735",2000-03-03,0.3,7,2.3,10,0,30.5,2.9,2.3
"14737",2000-03-04,2.3,4.1,0.6,9,0,13.5,2.1,0
"14739",2000-03-05,4.9,8.5,8.3,7.5,3.2,7.1,0,6.4
"14741",2000-03-06,3,6,7.3,9.5,8.6,18.4,13.3,8.9
"14743",2000-03-07,0.8,9.1,7.2,10.5,6.7,28.5,3.1,7.1
"14745",2000-03-08,0.9,2.3,7.7,10,6.6,5.2,3.1,12.7
"14747",2000-03-09,0.1,6.6,7,4.5,1.3,11,8.8,5.3
"14749",2000-03-10,NA,2.7,9.2,5,0,11.5,0,3.2
"14751",2000-03-11,0,0,0,4.5,0,3.7,0,5
"14753",2000-03-12,0.2,2.2,2.7,10,2.2,2.7,0,4.4
"14755",2000-03-13,0,1.8,1.6,0,5.4,1.1,0,2.3
"14757",2000-03-14,0,6,8.7,10.5,7.2,4,0,1.6
"14759",2000-03-15,NA,0,10.9,9.2,4.6,10,5.1,2.5
"14761",2000-03-16,0,0,1.5,0,2.5,0,0,0
"14763",2000-03-17,0,0,0.5,0,2.6,0,0,1.5
"14765",2000-03-18,0,0,0,0,0,0,0,1
"14767",2000-03-19,0,0,0,0,0,0,0,1.2
"14769",2000-03-20,0,0.7,0,2.5,0,5.4,0,2.1
"14771",2000-03-21,0.1,1,1.7,1.5,0,4,0,3.6
"14773",2000-03-22,0,0,0.8,0,0,0.7,0,3.3
"14775",2000-03-23,0,3.2,2.3,5.5,0,0,0,12.4
"14777",2000-03-24,4.5,2.8,10,6.2,0,9.1,4.4,5.2
"14779",2000-03-25,0,4,1.3,2,2.2,0.8,5.7,1.1
"14781",2000-03-26,0.3,0,0,0,9.8,0,0,0
"14783",2000-03-27,0,0,0.9,0,8.8,0,0,0
"14785",2000-03-28,0,5.3,0,2,10.7,0,0,4
"14787",2000-03-29,1.9,0,9.9,7,2.8,0,0,1.6
"14789",2000-03-30,6.3,6.1,3.6,2,0,16.5,0,7
"14791",2000-03-31,1.6,0.9,8.8,2,0,3.8,0,5.6
"14793",2000-04-01,0,3.1,22.8,3.5,0,2.3,0,5.1
"14795",2000-04-02,0,2.2,0,0,0,0.1,0,6.2
"14797",2000-04-03,NA,3.1,1.9,0,1.2,0,4.2,2.3
"14799",2000-04-04,0,4,0.7,0,10.9,0,7.8,1.8
"14801",2000-04-05,0.4,6.7,0.8,0,8.2,0.8,2.3,2.2
"14803",2000-04-06,0.1,6.4,0,0,0,0,1.1,0.8
"14805",2000-04-07,0,0,0,6,4.2,0,0,1.7
"14807",2000-04-08,0,1.7,2.2,6.5,3.5,7.2,1.9,0.7
"14809",2000-04-09,3.5,3.7,0.6,3.2,1.5,2.9,6.3,4.8
"14811",2000-04-10,0.2,0,0,0,0,0,1.8,1.9
"14813",2000-04-11,0,0,0,0,0,0,0,0
"14815",2000-04-12,0,0.7,2.9,0,0,0,1.2,0
"14817",2000-04-13,0,0.3,6.3,6,0,0,0,0
"14819",2000-04-14,0,4.2,0,2,0,3,0,2.9
"14821",2000-04-15,0,0,4.8,0,0,1.3,0,11.7
"14823",2000-04-16,0.2,2.5,3.7,0,0,3,0,11
"14825",2000-04-17,1.3,0,2.4,6.5,0,2.7,0,2.7
"14827",2000-04-18,0,0.5,7.7,3.5,0,4,0,10.8
"14829",2000-04-19,0,1.2,0.2,2.5,2.9,0,0,3.7
"14831",2000-04-20,NA,1.3,8,0,2.6,2.9,0,1.6
"14833",2000-04-21,0,0,0.2,0,0,7.8,0,0
"14835",2000-04-22,0,0,0,0,0,0,0,0
"14837",2000-04-23,NA,0,0,3,1.9,0,1.8,0
"14839",2000-04-24,0,0,2,2,5.4,0,1.4,0
"14841",2000-04-25,NA,2.2,6.2,3.5,4.2,5.7,0,2
"14843",2000-04-26,0,2.8,0.7,0,0,0,0,0
"14845",2000-04-27,0,2.5,0,0,0,0,0,0
"14847",2000-04-28,0,3.1,0.3,0,0,0,0,0
"14849",2000-04-29,0,0,0,0,0,0,0,1.9
"14851",2000-04-30,0,2.9,1.5,1.5,0,0,0,6.6
"14853",2000-05-01,0,1.2,0.4,2.5,0,1.3,0,2.3
"14855",2000-05-02,0,1.5,0.3,1.5,0,4.4,0,3
"14857",2000-05-03,0,0,2.4,2.5,0,4.8,0,2.2
"14859",2000-05-04,0,2.5,2.1,3.5,0,1,2.8,0.9
"14861",2000-05-05,0,3.9,2.2,1.5,0,4.5,0,2.5
"14863",2000-05-06,0,2.1,3.4,1,1.3,1.8,0,0
"14865",2000-05-07,0,9.5,3.9,0,4.3,1.2,1.3,0
"14867",2000-05-08,0.4,0,0.6,8,2.4,0.8,0,3
"14869",2000-05-09,0.5,0,0.3,6,1.6,3.6,2.3,3
"14871",2000-05-10,0,0,0.4,0,0,0,0,2.8
"14873",2000-05-11,0,0,0,0,0,0,1.1,0
"14875",2000-05-12,0,0.7,0.6,1.5,0,2,2.2,1.2
"14877",2000-05-13,0,0.3,0,2.5,0,5,1.1,7.1
"14879",2000-05-14,0,0.5,3.7,1,0,14.5,0,8.6
"14881",2000-05-15,0,0,0.4,0,0,9,0,0
"14883",2000-05-16,0,0,0,0,1.5,6.2,0,0
"14885",2000-05-17,0,0,0,2.5,4.7,4.4,0,0
"14887",2000-05-18,0,0,2.5,0,3.7,6.9,0,2.3
"14889",2000-05-19,0,0,0,0,1.1,5,0,0
"14891",2000-05-20,0,0,0,3,0,1.5,0,0
"14893",2000-05-21,0,0,0.9,4.5,0,6.1,0,7.1
"14895",2000-05-22,0,0,0,0,0,12.7,0,0
"14897",2000-05-23,0,0,0,0,0,1.7,0,0
"14899",2000-05-24,0,0,0,0,0,0,0,0
"14901",2000-05-25,0,0,0,0,0,0,0,0
"14903",2000-05-26,0,0,0,0,0,0,0,0
"14905",2000-05-27,0,0,0,0,0,0,0,0
"14907",2000-05-28,0,0,0,0,0,0,0,0
"14909",2000-05-29,0,0,0,0,0,0,0,0
"14911",2000-05-30,0,0,0,0,0,0,0,0
"14913",2000-05-31,0,0,0,0,0,0,0,0
"14915",2000-06-01,0,0,0,0,0,0,0,0
"14917",2000-06-02,0,0,0,0,0,0,0,0
"14919",2000-06-03,0,0,0,0,0,0,0,0
"14921",2000-06-04,0,0,0,0,0,0,0,0
"14923",2000-06-05,0,0,0,0,0,0,0,0
"14925",2000-06-06,0,0,0,0,0,1,0,0
"14927",2000-06-07,0,0,0,0,0,0.5,0,0
"14929",2000-06-08,0,0,0,0,0,1.9,0,2
"14931",2000-06-09,0,0,0,0,0,2,0,3.7
"14933",2000-06-10,0,0,0,0,0,0.2,0,0
"14935",2000-06-11,0,0,0,0,0,0,0,0
"14937",2000-06-12,0,0,0,0,0,0,0,0
"14939",2000-06-13,0,0,0,0,0,0,0,0
"14941",2000-06-14,0,0,0,0,0,0,0,0
"14943",2000-06-15,0,0,0,0,0,0,0,0
"14945",2000-06-16,0,0,0,0,0,0,0,0
"14947",2000-06-17,0,0,0,0,0,0,0,0
"14949",2000-06-18,0,0,0,0,0,0,0,0
"14951",2000-06-19,0,0,0,0,0,0,0,0
"14953",2000-06-20,0,0,0,0,0,0,0,0
"14955",2000-06-21,0,0,0,0,0,0,0,0.8
"14957",2000-06-22,0,0,0,0,0,0,0,1.3
"14959",2000-06-23,0,0,0,0,0,0,0,0
"14961",2000-06-24,0,0,0,0,0,0,0,0
"14963",2000-06-25,0,0,0,0,0,0,0,0.8
"14965",2000-06-26,0,0,0,0,0,0,0,0
"14967",2000-06-27,0,0,0,0,0,0,0,0
"14969",2000-06-28,0,0,0,0,0,0.6,0,0
"14971",2000-06-29,0,0,0,0,0,0.3,0,0
"14973",2000-06-30,0,0,0,0,0,0,0,0
"14975",2000-07-01,0,0,0,0,0,0,0,0
"14977",2000-07-02,0,0,0,0,0,0,0,0
"14979",2000-07-03,0,0,0,0,0,0,0,0
"14981",2000-07-04,0,0,0.6,0,0,1,0,2.4
"14983",2000-07-05,0,0,0.8,0,0,0,0,3
"14985",2000-07-06,0,0,0,0,0,0.5,0,0
"14987",2000-07-07,0,0,0,0,0,0.3,0,0
"14989",2000-07-08,0,0,0,0,0,5.1,0,0
"14991",2000-07-09,0,0,0,0,0,0,0,0
"14993",2000-07-10,0,0,0,0,0,0,0,0
"14995",2000-07-11,0,0,0,0,0,0,0,1.5
"14997",2000-07-12,0,0,0,0,0,0,0,0
"14999",2000-07-13,0,0,0,0,0,0,0,0
"15001",2000-07-14,0,0,0,0,0,0,0,0
"15003",2000-07-15,0,0,0,0,0,0,0,0
"15005",2000-07-16,0,0,0,0,0,0,0,0
"15007",2000-07-17,0,0,0,0,0,0,0,0
"15009",2000-07-18,0,0,0,0,0,0,0,0
"15011",2000-07-19,0,0,0,0,0,0,0,0
"15013",2000-07-20,0,0,0,0,0,0,0,0
"15015",2000-07-21,0,0,0,0,0,0,0,0
"15017",2000-07-22,0,0,0,0,0,0,0,0
"15019",2000-07-23,0,0,0,0,0,0,0,0
"15021",2000-07-24,0,0,0,0,0,0,0,1.5
"15023",2000-07-25,0,0,0,0,0,0,0,2
"15025",2000-07-26,0,0,0,0,0,0,0,0
"15027",2000-07-27,0,0,0,0,0,0,0,0
"15029",2000-07-28,0,0,0,0,0,0,0,0
"15031",2000-07-29,0,0,0,0,0,0,0,0
"15033",2000-07-30,0,0,0,0,0,0,0,0
"15035",2000-07-31,0,0,0,0,0,0,0,0
"15037",2000-08-01,0,0,0,0,0,0,0,0
"15039",2000-08-02,0,0,0,0,0,0,0,0
"15041",2000-08-03,0,0,0,0,0,0,0,0
"15043",2000-08-04,0,0,0,0,0,0,0,1.8
"15045",2000-08-05,0,0,0,0,0,0,0,0
"15047",2000-08-06,0,0,0,0,0,0,0,0
"15049",2000-08-07,0,0,0,0,0,0,0,0
"15051",2000-08-08,0,0,0,0,0,8.2,0,0
"15053",2000-08-09,0,0,3.4,12,0,4.3,0,0
"15055",2000-08-10,0,0,0.6,1.8,0,0,0,2.7
"15057",2000-08-11,0,0,0.5,0,0,0,0,4.2
"15059",2000-08-12,0,0,0,0,0,0,0,3.8
"15061",2000-08-13,0,0,4.3,0,0,0,0,6
"15063",2000-08-14,0,0,1.9,2.5,0,0,0,3
"15065",2000-08-15,0,0,0,0,0,0.9,0,0
"15067",2000-08-16,0,0,0,0,0,0.4,0,0
"15069",2000-08-17,0,0,0,0,0,0,0,0
"15071",2000-08-18,0,0,0,0,0,0,0,0
"15073",2000-08-19,0,0,0,0,0,0,0,0
"15075",2000-08-20,0,0,0,0,0,0,0,0
"15077",2000-08-21,0,0,0,0,0,0,0,0
"15079",2000-08-22,0,0,0,0,0,0,0,0
"15081",2000-08-23,0,0,0,0,0,0,0,0
"15083",2000-08-24,0,0,0,0,0,0,0,0
"15085",2000-08-25,0,0,0,0,0,0,0,0
"15087",2000-08-26,0,0,0,0,0,0,0,0
"15089",2000-08-27,0,0,0,0,0,0,0,0
"15091",2000-08-28,0,0,0,0,0,3.6,0,0
"15093",2000-08-29,0,0,0,0,0,0,0,0
"15095",2000-08-30,0,0,0,0,0,0,0,1.2
"15097",2000-08-31,0,0,0,0,0,1.3,0,0
"15099",2000-09-01,0,0,0,0,0,0,0,0
"15101",2000-09-02,0,0,0,0,0,0.3,0,0
"15103",2000-09-03,0,0,0,0,0,0.2,0,0
"15105",2000-09-04,0,0,0,0,0,0,0,0
"15107",2000-09-05,0,0,0,0,0,0,0,0
"15109",2000-09-06,0,0,0,0,0,0,0,0
"15111",2000-09-07,0,0,0,0,0,1.9,0,0
"15113",2000-09-08,0,0,0,0,0,0,0,0
"15115",2000-09-09,0,0,0,0,0,0,0,0
"15117",2000-09-10,0,0,0,0,0,0,0,0
"15119",2000-09-11,0,0,0,0,0,0,0,0
"15121",2000-09-12,0,0,0,0,0,0,0,0
"15123",2000-09-13,0,0,0,0,0,1.3,0,0
"15125",2000-09-14,0,0,0,0,0,0,0,0
"15127",2000-09-15,0,0,0,0,0,1.5,0,1.9
"15129",2000-09-16,0,0,0,0,0,5.1,0,3.5
"15131",2000-09-17,0,0,0.6,0,0,2,0,0
"15133",2000-09-18,0,0,0,0,0,0,0,0
"15135",2000-09-19,0,0,0,0,0,2.1,0,0
"15137",2000-09-20,0,0,0,0,0,1.9,0,2.1
"15139",2000-09-21,0,0,5.2,0,0,5.2,0,1.1
"15141",2000-09-22,0,0,0,0,0,9,0,5.2
"15143",2000-09-23,0,0,3.5,0,0,3.6,0,2.8
"15145",2000-09-24,0,0.2,2.5,0,0,3.3,0,1
"15147",2000-09-25,0,0,0,0,0,4.5,0,0
"15149",2000-09-26,0,0,0,0,0,1.5,0,1.2
"15151",2000-09-27,0,0.3,0,0,0,0,0,1.6
"15153",2000-09-28,NA,0,1.8,10,0,3.1,0,3
"15155",2000-09-29,0.3,0,0,4.5,0,8.6,1.6,6.7
"15157",2000-09-30,0.6,0,0,0,0,4.3,0,1.2
"15159",2000-10-01,0,0,0,0,0,0.8,0,0
"15161",2000-10-02,0,0,0,0,0,0,0,3.2
"15163",2000-10-03,0,0,0.6,0,0,0,0,6.5
"15165",2000-10-04,0,0,2.3,2,0,4.1,0,1.5
"15167",2000-10-05,0.7,0,3.5,3.5,2.2,1,0,6
"15169",2000-10-06,0,0,11.7,12,2.6,17,0,6.9
"15171",2000-10-07,0,0,2.5,10,3.6,8.8,2.2,5.8
"15173",2000-10-08,0,0,4.8,5.2,7.4,4.9,4.1,1.4
"15175",2000-10-09,0,0,3.9,0,1.2,0,3.1,0
"15177",2000-10-10,0.9,0,0,0,0,3.4,0,2.9
"15179",2000-10-11,0.2,0,0.7,10.5,0,1.2,3.1,2.5
"15181",2000-10-12,0,0.2,1.5,7.5,0,0,1.4,0.5
"15183",2000-10-13,0,0.5,1.2,8.5,0,8,1.3,3.5
"15185",2000-10-14,0,0,1.5,5.2,0,0,2.4,4.3
"15187",2000-10-15,0.2,0.7,3.2,0,0,3.5,0,2.3
"15189",2000-10-16,0,2.2,0,0,0,4.6,0,1.4
"15191",2000-10-17,0,0.6,0,0,0,0,0,1.8
"15193",2000-10-18,0,3.4,0,0,0,6.9,0,0.8
"15195",2000-10-19,0,0,3.9,0,0,0,0,2.1
"15197",2000-10-20,0,0,0,0,0,0,0,0
"15199",2000-10-21,0,0,0,0,0,1,0,0
"15201",2000-10-22,0,0,0,0,0,0,0,0.6
"15203",2000-10-23,0,0,0,0,4.2,0,0,0
"15205",2000-10-24,0,0,0,0,3.6,2.7,0,0
"15207",2000-10-25,0,0,0,0,4.5,0,0,6
"15209",2000-10-26,0,0,0.2,6.5,2.4,0.6,0,6.9
"15211",2000-10-27,0,0,0,0,4.1,0,0,3
"15213",2000-10-28,0,0,0,0,0,0,0,0
"15215",2000-10-29,0,0,0,0,0,0,0,0
"15217",2000-10-30,0,0,0,0,0,0,0,0
"15219",2000-10-31,0,0,0,0,0,0,0,0
"15221",2000-11-01,0,0,0,0,0,0,0,0
"15223",2000-11-02,0,0,0,0,0,0,0,0
"15225",2000-11-03,0,0,0,0,0,0,0,0
"15227",2000-11-04,0,0,0,0,0,0,0,0
"15229",2000-11-05,0,0,0,0,0,0,0,0
"15231",2000-11-06,0,0,0,0,2.3,0,0,0
"15233",2000-11-07,0,0,0,0,3.6,0,0,0
"15235",2000-11-08,0,0,0,0,2.1,0,0,0
"15237",2000-11-09,0,0,0,0,0,0,0,0
"15239",2000-11-10,0,0,0,0,0,0,0,0
"15241",2000-11-11,0,0,0,0,0,0,0,0
"15243",2000-11-12,0,0,0,0,0,0,0,0
"15245",2000-11-13,0,0,0,0,0,0,0,0
"15247",2000-11-14,0,0,0,0,0,0,0,0
"15249",2000-11-15,0,0,0,0,0,0,0,0
"15251",2000-11-16,0,0,0,0,0,0.7,0,0
"15253",2000-11-17,0,0,4.1,0,3.2,0,0,2
"15255",2000-11-18,0,0.3,6,0,2.5,0,0,1.5
"15257",2000-11-19,0,1.6,0,0,2.2,0,0,0
"15259",2000-11-20,0,0.7,0,0,0,0,0,0
"15261",2000-11-21,0,0,0,0,0,0,0,0
"15263",2000-11-22,0,0,0,0,0,2.6,0,0
"15265",2000-11-23,0.7,0,0,0,0,5,0,3.8
"15267",2000-11-24,0.8,0,2.6,3.5,0,3.3,0,5.5
"15269",2000-11-25,0,0,0,0,0,0.9,0,1
"15271",2000-11-26,0,3.6,0,0,0,4.8,0,2.5
"15273",2000-11-27,0,1.8,2.8,0,5.4,0.5,0,6.4
"15275",2000-11-28,NA,1.2,0,0,7,6.5,0,16.8
"15277",2000-11-29,0,3.7,6.9,6.5,11.2,7.6,5.7,5.3
"15279",2000-11-30,0,1.9,7.4,12.5,1.1,2.8,1.6,3.7
"15281",2000-12-01,0,3.8,1.6,5.5,0,5,0,7.1
"15283",2000-12-02,0,4.9,5.4,8.5,3.4,8.1,4.9,9.7
"15285",2000-12-03,0.1,6.1,4.2,3.5,6.7,14.4,0,12.5
"15287",2000-12-04,2,3.5,3.7,2,5.8,3.4,0,5.3
"15289",2000-12-05,0,0.7,1.4,3.2,5.5,10.9,0,5.8
"15291",2000-12-06,0,3.5,1.8,0,9.9,3.5,0,1.7
"15293",2000-12-07,0,2.9,2.8,6.2,8.4,13.3,0,5.2
"15295",2000-12-08,2.9,5,16.3,7.5,18.8,8,13.1,11.7
"15297",2000-12-09,1.8,5.2,5.8,6.4,0,0.6,5.1,3.2
"15299",2000-12-10,0,2.7,16.9,9.5,0,2.3,0,2.9
"15301",2000-12-11,0.2,0,3.2,2.5,0,9,0,0
"15303",2000-12-12,0,0,0,0,0,0,0,0
"15305",2000-12-13,0,3.1,0,0,1.2,0,0,0
"15307",2000-12-14,0,5.3,0,0,9.5,0,0,0
"15309",2000-12-15,0,4.2,0,0,9.4,0,0,0
"15311",2000-12-16,0,1.7,1.2,0,6.4,1.2,1.5,1.4
"15313",2000-12-17,2,1.1,5.9,3.6,10.2,13,1.2,3.5
"15315",2000-12-18,1.1,4,4.5,12,4.9,10,0,0
"15317",2000-12-19,0,0,0.4,6.5,0,1.5,0,0
"15319",2000-12-20,0,5.6,10.7,8.5,0,6.8,0,3
"15321",2000-12-21,0,0,2.7,0,0,0,2.3,3.8
"15323",2000-12-22,0,6.4,0,3,0,4,4.5,7.6
"15325",2000-12-23,2.3,4.3,0,0,0,2.1,0,5.9
"15327",2000-12-24,0.2,0,0,0,4.4,0,0,0
"15329",2000-12-25,0,0,4.5,0,23,0,2.2,2.1
"15331",2000-12-26,0,6.3,0,4.5,7,1,0,0
"15333",2000-12-27,NA,5.2,4.9,10.5,13.3,9.7,3.2,8.5
"15335",2000-12-28,2.8,17.3,6.7,10,2.2,8.5,4.2,10.5
"15337",2000-12-29,5.3,15.7,19.8,9.5,0,19.2,4.2,15.6
"15339",2000-12-30,1.2,9.1,6.3,8.5,0,12.3,3.6,8.4
"15341",2000-12-31,0,4.6,16.4,6.5,0,3,0,3.2
"15343",2001-01-01,0,1,9.2,3.5,0,9.8,0,9.9
"15345",2001-01-02,0.3,3.7,1.1,5.4,0,3,3.6,6.2
"15347",2001-01-03,16.6,7.2,3,10.5,4.6,5,3.2,14.3
"15349",2001-01-04,2.6,11.7,22.7,12.5,8,11.1,2.4,8.1
"15351",2001-01-05,1.7,6.1,4.4,5.4,4.6,8,4.1,7.3
"15353",2001-01-06,0,0.3,4.2,6.2,8.3,2.1,1.8,6.5
"15355",2001-01-07,0,10,3.9,3.5,7.6,20.3,3.4,5.6
"15357",2001-01-08,0,0,5.5,8.2,1.2,15.2,0,6.1
"15359",2001-01-09,0,0,0,10.5,0,1.7,0,0
"15361",2001-01-10,0,0,0,7.5,0,0,0,0
"15363",2001-01-11,2.3,0,4.2,2.5,0,5.7,1.5,2.5
"15365",2001-01-12,4.5,3.2,1.8,0,0,1.7,1.1,1.6
"15367",2001-01-13,0.3,2.4,1.4,2.4,7.1,5.8,0,5.8
"15369",2001-01-14,0.3,14.8,1.5,3.4,12,8.2,0,4.8
"15371",2001-01-15,0.9,5.2,14.6,12.5,4.4,10,11.2,10.6
"15373",2001-01-16,1,13.2,9,13,15.2,12.7,2.1,8.4
"15375",2001-01-17,0.5,3.5,7,12,26.2,8.9,0,14
"15377",2001-01-18,3.7,13.3,9.9,9.5,4.2,16.9,3.1,16.5
"15379",2001-01-19,7.1,12.5,13.6,12.4,8.9,9.4,1.3,16
"15381",2001-01-20,1.8,4.6,11.2,10.5,0,15,16.5,11.5
"15383",2001-01-21,1,10,15.2,10,2.3,18.7,2.8,12.2
"15385",2001-01-22,0.8,3.9,0.8,9.5,11,3.8,4.1,6.3
"15387",2001-01-23,3.5,3.3,6,5.5,8.2,1.1,7,9.8
"15389",2001-01-24,0.8,14.7,2.9,7.5,12.2,4,9.2,3.6
"15391",2001-01-25,7.3,5.5,4.6,10.5,2.4,3.6,10.1,8.7
"15393",2001-01-26,3.2,6.4,2.8,5.3,9.8,8.1,1.5,7.1
"15395",2001-01-27,0.5,3.9,1.8,8.5,6.7,4.1,2.8,2.5
"15397",2001-01-28,0.5,2.7,3.2,12,7.4,14.4,1.6,14.1
"15399",2001-01-29,0.2,0,0,0,2.2,0.6,0,7.3
"15401",2001-01-30,0,1.9,1.2,0,0,3.5,0,5.7
"15403",2001-01-31,0.2,4.7,0,9.5,0,1.9,2.1,4.5
"15405",2001-02-01,0,3.5,8.4,10,0,7.4,1.5,7.1
"15407",2001-02-02,9.7,5.8,9.7,15,0,8.1,17.6,11.2
"15409",2001-02-03,10,7.8,14.7,4.5,5.9,14.4,17.4,6.4
"15411",2001-02-04,19.1,5.8,2.7,5.2,9.5,3.4,8.2,5.2
"15413",2001-02-05,1.1,2.1,2.3,9.4,11.6,10.9,7.3,10.1
"15415",2001-02-06,2.6,0,0,6.4,7.4,4.1,9.4,5.9
"15417",2001-02-07,1.1,1.3,0,0,6.9,13.3,8.5,13
"15419",2001-02-08,0,2.3,0,0,2.7,8,5.4,3.9
"15421",2001-02-09,0.6,0,0,0,0,0.6,10.6,2.1
"15423",2001-02-10,0.5,0,0.8,0,0,2.3,0,0.7
"15425",2001-02-11,0,0,0,0,0,9,0,0
"15427",2001-02-12,0,0,1,0,1.2,0.6,0,0
"15429",2001-02-13,6.7,3.1,0,5,14,0.5,10.8,3.7
"15431",2001-02-14,1.4,4.4,10.1,13.5,20.7,6.9,3.4,0.8
"15433",2001-02-15,3.4,5.3,8.3,10,8.9,1.6,9,0
"15435",2001-02-16,0,0,7.4,4,5.4,20.6,0,7.9
"15437",2001-02-17,0,0,10,5.5,8.7,6.4,0,4.3
"15439",2001-02-18,0,0,0,0,4.4,0.2,0,4.4
"15441",2001-02-19,0,0,0,3.5,0,3.8,0,0
"15443",2001-02-20,0,0,0,0,0,2.5,0,0
"15445",2001-02-21,0.8,0,0,3,0,4,1,1.9
"15447",2001-02-22,4,2.4,1.3,3.2,0,4.1,3.1,1.4
"15449",2001-02-23,0.5,0,4.9,6.4,0,11.3,5.7,5.3
"15451",2001-02-24,6.9,8.6,8.5,8.5,0,1,5.9,7.9
"15453",2001-02-25,1.6,5.1,9.2,10.5,9.1,9,5.6,8.3
"15455",2001-02-26,1.3,13.3,17.3,10.3,4.4,0.9,1.5,14.6
"15457",2001-02-27,0.3,0,0.5,6,1.5,4,0,7.4
